date;nom_plan_eau;habitat;region;latitude;longitude;groupe;especes;nom_commun;type_observation;source;references;code_observation
1905-05-29;Saint-Laurent, Fleuve;fleuve;Centre-du-Québec;46.39569;-72.36740;mollusque;Sphaerium corneum;Cyclade commune;Échantillonnage scientifique;Littérature scientifique;Vincent et Vaillancourt (1978);SPCO01
1905-05-29;Saint-Laurent, Fleuve;fleuve;Centre-du-Québec;46.39569;-72.36740;mollusque;Pisidium amnicum;Pisidie de vase;Échantillonnage scientifique;Littérature scientifique;Vincent et Vaillancourt (1978);PIAM01
1910-06-24;Saint-Laurent, Fleuve;fleuve;Montréal;45.44734;-73.79365;poisson;Cyprinus carpio;Carpe commune;Échantillonnage scientifique;Littérature scientifique;McCrimmons (1968);CYCA01
1923;Saint-Jean, Lac;lac;Saguenay - Lac-Saint-Jean;48.55092;-72.03498;crustacé;Eurytemora affinis;Copepode E. affinis;Échantillonnage scientifique;Littérature scientifique;Willey (1923), Lee (1999);
1934-06-25;Richelieu, Rivière;rivière;Montérégie;45.06230;-73.33286;hydrozoaire;Craspedacusta sowerbii;Méduse d'eau douce;Échantillonnage scientifique;Littérature scientifique;Fantham et Porter (1938);CRSO01
1941-05-15;Outaouais, Rivière des;rivière;Laurentides;45.64261;-74.74658;poisson;Cyprinus carpio;Carpe commune;Échantillonnage scientifique;Littérature scientifique;McCrimmons (1968);CYCA03
1952-08-28;Orignal, Lac de l';lac;Estrie;45.61003;-70.90587;poisson;Carassius auratus;Poisson rouge;Mention du public;MELCCFP;;CAAU01
1953;Palmer, Rivière;rivière;Chaudière-Appalaches;46.31841;-71.44843;poisson;Cyprinus carpio;Carpe commune;Échantillonnage scientifique;MELCCFP;IFA;CYCA06
1953;Caribou, Lac;lac;Chaudière-Appalaches;46.01639;-71.32273;poisson;Cyprinus carpio;Carpe commune;Échantillonnage scientifique;MELCCFP;IFA;CYCA05
1955-06-25;Saint-Laurent, Fleuve;fleuve;Chaudière-Appalaches;46.75961;-71.23949;mollusque ;Viviparus georgianus ;Vivipare géorgienne;Échantillonnage scientifique;Littérature scientifique;Bousfield et al. (1955);VIGE01
1955-08-20;Ouimet, Lac;lac;Laurentides;46.16807;-74.58699;hydrozoaire;Craspedacusta sowerbii;Méduse d'eau douce;Échantillonnage scientifique;Littérature scientifique;Robert (1956);CRSO02
1955-09-15;Escalier, Réservoir l';réservoir;Outaouais;45.85963;-75.67490;hydrozoaire;Craspedacusta sowerbii;Méduse d'eau douce;Échantillonnage scientifique;Littérature scientifique;Magnin (1980);CRSO04
1955-09-15;Manitou, Lac;lac;Laurentides;46.05599;-74.36080;hydrozoaire;Craspedacusta sowerbii;Méduse d'eau douce;Échantillonnage scientifique;Littérature scientifique;Robert (1956);CRSO03
1961-08-10;Saint-Laurent, Fleuve;fleuve;Bas-Saint-Laurent;47.84894;-69.56284;poisson;Cyprinus carpio;Carpe commune;Échantillonnage scientifique;Littérature scientifique;Vladykov and McAllister (1961);CYCA07
1963;Truite, Lac à la;lac;Chaudière-Appalaches;46.08451;-71.50118;poisson;Cyprinus carpio;Carpe commune;Échantillonnage scientifique;MELCCFP;IFA;CYCA09
1964-01-01;Bulstrode, Rivière;rivière;Chaudière-Appalaches;46.00511;-71.64509;poisson;Cyprinus carpio;Carpe commune;Échantillonnage scientifique;MELCCFP;IFA;CYCA10
1964-07-13;Stoke, Lac;lac;Estrie;45.51809;-71.81063;poisson;Carassius auratus;Poisson rouge;Mention du public;MELCCFP;;CAAU02
1966-06-12;Kamouraska, Rivière;rivière;Bas-Saint-Laurent;47.57168;-69.85406;poisson;Cyprinus carpio;Carpe commune;Échantillonnage scientifique;Littérature scientifique;McCrimmons (1968);CYCA11
1967;Normand, Lac;lac;Mauricie;47.06795;-73.23429;poisson;Oncorhynchus nerka;Saumon kokani;Programme d'ensemencement historique;Ensemencement;https://www.sepaq.com/rf/stm/portrait.dot?language_id=2 ;ONNE01
1967-09-11;Saint-Laurent, Golfe du ;golfe;Côte-Nord;50.77280;-59.02892;poisson;Oncorhynchus gorbuscha;Saumon rose;Échantillonnage scientifique;Littérature scientifique;Legendre et Carter (1968);ONGO02
1967-09-25;Watshishou, Rivière;rivière;Côte-Nord;50.29639;-62.65306;poisson;Oncorhynchus gorbuscha;Saumon rose;Échantillonnage scientifique;Littérature scientifique;Legendre et Carter (1968);ONGO01
1968;Saint-Laurent, Fleuve;fleuve;Montérégie;45.37630;-73.87270;mollusque;Bithynia tentaculata;Bithynia commune;Échantillonnage scientifique;Littérature scientifique;Magnin (1970);BITE01
1968-01-01;Bulstrode, Rivière;rivière;Chaudière-Appalaches;46.00511;-71.64509;poisson;Cyprinus carpio;Carpe commune;Échantillonnage scientifique;MELCCFP;IFA;CYCA12
1969-07-11;Soulanges, Canal de ;canal;Montérégie;45.32421;-74.00542;mollusque ;Cipangopaludina chinensis;Vivipare chinoise;Échantillonnage scientifique;Littérature scientifique;Plinski et al. (1978);CICH01
